Epoch,Time(s),Loss,F1
00072,4.3802,0.1377,0.0004
00073,4.3803,0.1377,0.0004
00074,4.3804,0.1376,0.0004
00075,4.3801,0.1375,0.0004
00076,4.3802,0.1375,0.0004
00077,4.3802,0.1374,0.0004
00078,4.3802,0.1374,0.0004
00079,4.3801,0.1373,0.0004
00080,4.3801,0.1373,0.0004
00081,4.3800,0.1372,0.0004
00082,4.3801,0.1372,0.0004
00083,4.3799,0.1372,0.0004
00084,4.3800,0.1372,0.0004
00085,4.3799,0.1371,0.0004
00086,4.3799,0.1371,0.0004
00087,4.3798,0.1371,0.0004
00088,4.3798,0.1371,0.0004
00089,4.3797,0.1371,0.0004
00090,4.3797,0.1371,0.0004
00091,4.3798,0.1370,0.0004
00092,4.3797,0.1370,0.0004
00093,4.3798,0.1370,0.0004
00094,4.3798,0.1370,0.0004
00095,4.3798,0.1370,0.0004
00096,4.3798,0.1369,0.0004
00097,4.3799,0.1369,0.0004
00098,4.3801,0.1369,0.0004
00099,4.3801,0.1369,0.0004
00100,4.3802,0.1369,0.0004
00101,4.3801,0.1368,0.0004
00102,4.3804,0.1368,0.0004
00103,4.3807,0.1368,0.0004
00104,4.3809,0.1367,0.0004
00105,4.3812,0.1367,0.0004
00106,4.3813,0.1367,0.0004
00107,4.3812,0.1366,0.0004
00108,4.3811,0.1366,0.0004
00109,4.3810,0.1366,0.0004
00110,4.3808,0.1365,0.0004
00111,4.3806,0.1365,0.0004
00112,4.3805,0.1364,0.0004
00113,4.3804,0.1364,0.0004
00114,4.3804,0.1364,0.0004
00115,4.3804,0.1363,0.0004
00116,4.3806,0.1363,0.0004
00117,4.3807,0.1362,0.0003
00118,4.3806,0.1362,0.0003
00119,4.3806,0.1362,0.0003
00120,4.3805,0.1361,0.0003
00121,4.3805,0.1361,0.0003
00122,4.3804,0.1360,0.0003
00123,4.3802,0.1360,0.0003
00124,4.3802,0.1359,0.0003
00125,4.3801,0.1359,0.0003
00126,4.3800,0.1358,0.0003
00127,4.3799,0.1358,0.0003
00128,4.3798,0.1357,0.0003
00129,4.3799,0.1357,0.0003
00130,4.3799,0.1357,0.0003
00131,4.3800,0.1357,0.0003
00132,4.3801,0.1356,0.0003
00133,4.3801,0.1356,0.0003
00134,4.3801,0.1355,0.0003
00135,4.3800,0.1355,0.0003
00136,4.3801,0.1355,0.0003
00137,4.3802,0.1354,0.0003
00138,4.3800,0.1354,0.0003
00139,4.3799,0.1354,0.0003
00140,4.3798,0.1353,0.0003
00141,4.3798,0.1353,0.0003
00142,4.3797,0.1353,0.0003
00143,4.3798,0.1353,0.0003
00144,4.3798,0.1353,0.0003
00145,4.3797,0.1352,0.0003
00146,4.3797,0.1351,0.0003
00147,4.3796,0.1351,0.0004
00148,4.3796,0.1351,0.0003
00149,4.3796,0.1351,0.0004
00150,4.3796,0.1350,0.0004
00151,4.3795,0.1350,0.0004
00152,4.3796,0.1349,0.0004
00153,4.3796,0.1349,0.0004
00154,4.3797,0.1349,0.0004
00155,4.3797,0.1349,0.0004
00156,4.3798,0.1348,0.0004
00157,4.3798,0.1348,0.0004
00158,4.3798,0.1347,0.0004
00159,4.3798,0.1346,0.0004
00160,4.3798,0.1346,0.0004
00161,4.3797,0.1346,0.0005
00162,4.3797,0.1346,0.0004
00163,4.3797,0.1345,0.0008
00164,4.3798,0.1345,0.0004
00165,4.3797,0.1344,0.0005
00166,4.3798,0.1343,0.0005
00167,4.3797,0.1342,0.0004
00168,4.3798,0.1342,0.0004
00169,4.3798,0.1341,0.0004
00170,4.3797,0.1341,0.0014
00171,4.3798,0.1341,0.0003
00172,4.3797,0.1341,0.0009
00173,4.3796,0.1339,0.0009
00174,4.3797,0.1338,0.0014
00175,4.3797,0.1337,0.0009
00176,4.3796,0.1337,0.0006
00177,4.3797,0.1337,0.0020
00178,4.3797,0.1337,0.0007
00179,4.3797,0.1337,0.0026
00180,4.3797,0.1336,0.0007
00181,4.3798,0.1335,0.0017
00182,4.3798,0.1334,0.0013
00183,4.3797,0.1332,0.0010
00184,4.3798,0.1332,0.0024
00185,4.3798,0.1332,0.0008
00186,4.3799,0.1332,0.0041
00187,4.3798,0.1332,0.0006
00188,4.3798,0.1332,0.0035
00189,4.3798,0.1331,0.0012
00190,4.3797,0.1329,0.0018
00191,4.3797,0.1328,0.0022
00192,4.3797,0.1327,0.0014
00193,4.3797,0.1327,0.0069
00194,4.3796,0.1327,0.0012
00195,4.3795,0.1327,0.0082
00196,4.3795,0.1327,0.0006
00197,4.3794,0.1326,0.0074
00198,4.3794,0.1324,0.0013
00199,4.3794,0.1321,0.0065
00200,4.3794,0.1318,0.0049
00201,4.3794,0.1314,0.0049
00202,4.3795,0.1312,0.0114
00203,4.3795,0.1309,0.0041
00204,4.3798,0.1308,0.0228
00205,4.3802,0.1308,0.0024
00206,4.3806,0.1311,0.0336
00207,4.3808,0.1308,0.0037
00208,4.3810,0.1307,0.0197
00209,4.3809,0.1297,0.0137
00210,4.3809,0.1290,0.0093
00211,4.3808,0.1289,0.0390
00212,4.3807,0.1290,0.0046
00213,4.3806,0.1297,0.0665
00214,4.3805,0.1296,0.0061
00215,4.3805,0.1294,0.0302
00216,4.3805,0.1274,0.0388
00217,4.3806,0.1276,0.0058
00218,4.3807,0.1287,0.0404
00219,4.3807,0.1274,0.0250
00220,4.3808,0.1263,0.0233
00221,4.3809,0.1266,0.0844
00222,4.3809,0.1277,0.0083
00223,4.3808,0.1308,0.1190
00224,4.3808,0.1277,0.0159
00225,4.3808,0.1268,0.0577
00226,4.3807,0.1265,0.0394
00227,4.3807,0.1266,0.0210
00228,4.3806,0.1252,0.0674
00229,4.3807,0.1271,0.0163
00230,4.3807,0.1265,0.0503
00231,4.3807,0.1247,0.0399
00232,4.3807,0.1265,0.0525
00233,4.3808,0.1240,0.0920
00234,4.3808,0.1261,0.0089
00235,4.3808,0.1264,0.2186
00236,4.3808,0.1335,0.0007
00237,4.3807,0.1438,0.0037
00238,4.3807,0.1311,0.1892
00239,4.3807,0.1390,0.0645
00240,4.3807,0.1317,0.0030
00241,4.3808,0.1353,0.0050
00242,4.3808,0.1329,0.0525
00243,4.3808,0.1310,0.0436
00244,4.3809,0.1318,0.0065
00245,4.3809,0.1284,0.0034
00246,4.3809,0.1290,0.0113
00247,4.3809,0.1298,0.0282
00248,4.3809,0.1287,0.0397
00249,4.3809,0.1287,0.0348
00250,4.3809,0.1286,0.0219
00251,4.3809,0.1286,0.0189
00252,4.3810,0.1284,0.0252
00253,4.3810,0.1277,0.0366
00254,4.3810,0.1279,0.0238
00255,4.3810,0.1275,0.0087
00256,4.3811,0.1268,0.0076
00257,4.3811,0.1267,0.0179
00258,4.3811,0.1262,0.0365
00259,4.3811,0.1258,0.0360
00260,4.3810,0.1256,0.0238
00261,4.3810,0.1254,0.0229
00262,4.3810,0.1250,0.0304
00263,4.3810,0.1249,0.0295
00264,4.3810,0.1244,0.0275
00265,4.3810,0.1242,0.0398
00266,4.3809,0.1239,0.0546
00267,4.3809,0.1234,0.0362
00268,4.3809,0.1231,0.0313
00269,4.3809,0.1229,0.0526
00270,4.3809,0.1226,0.0545
00271,4.3809,0.1222,0.0445
00272,4.3809,0.1219,0.0640
00273,4.3809,0.1215,0.0608
00274,4.3809,0.1212,0.0599
00275,4.3809,0.1208,0.0782
00276,4.3809,0.1205,0.0527
00277,4.3809,0.1203,0.1067
00278,4.3808,0.1201,0.0255
00279,4.3808,0.1208,0.1867
00280,4.3808,0.1227,0.0030
00281,4.3808,0.1318,0.1574
00282,4.3808,0.1203,0.1589
00283,4.3808,0.1209,0.0106
00284,4.3808,0.1286,0.1132
00285,4.3808,0.1189,0.2215
00286,4.3808,0.1256,0.0028
00287,4.3808,0.1340,0.0175
00288,4.3809,0.1234,0.2699
00289,4.3809,0.1391,0.0323
00290,4.3808,0.1249,0.0181
00291,4.3808,0.1308,0.1060
00292,4.3809,0.1203,0.2256
00293,4.3808,0.1312,0.0535
00294,4.3808,0.1204,0.0184
00295,4.3808,0.1261,0.0494
00296,4.3808,0.1216,0.1664
00297,4.3808,0.1252,0.0491
00298,4.3808,0.1215,0.0162
00299,4.3808,0.1228,0.0480
00300,4.3807,0.1217,0.1421
00301,4.3807,0.1212,0.0803
00302,4.3807,0.1208,0.0294
00303,4.3807,0.1213,0.0445
00304,4.3809,0.1200,0.1148
00305,4.3811,0.1207,0.0875
00306,4.3814,0.1192,0.0429
00307,4.3815,0.1199,0.0534
00308,4.3815,0.1187,0.1055
00309,4.3815,0.1192,0.0824
00310,4.3815,0.1180,0.0557
00311,4.3814,0.1184,0.0826
00312,4.3813,0.1173,0.1321
00313,4.3813,0.1176,0.0766
00314,4.3812,0.1167,0.0863
00315,4.3812,0.1165,0.1478
00316,4.3811,0.1161,0.0942
00317,4.3812,0.1156,0.1294
00318,4.3813,0.1151,0.1533
00319,4.3813,0.1146,0.0943
00320,4.3813,0.1148,0.2180
00321,4.3813,0.1150,0.0396
00322,4.3818,0.1171,0.2771
00323,4.3818,0.1171,0.0442
00324,4.3818,0.1190,0.1716
00325,4.3817,0.1133,0.2922
00326,4.3817,0.1187,0.0277
00327,4.3816,0.1238,0.0921
00328,4.3816,0.1185,0.3145
00329,4.3816,0.1238,0.0388
00330,4.3816,0.1253,0.1319
00331,4.3817,0.1194,0.2892
00332,4.3816,0.1280,0.0318
00333,4.3816,0.1322,0.0825
00334,4.3816,0.1293,0.3090
00335,4.3816,0.1264,0.1333
00336,4.3816,0.1198,0.0569
00337,4.3815,0.1229,0.1664
00338,4.3815,0.1196,0.2725
00339,4.3815,0.1230,0.0493
00340,4.3815,0.1211,0.0582
00341,4.3814,0.1198,0.2095
00342,4.3814,0.1214,0.1523
00343,4.3814,0.1183,0.0715
00344,4.3814,0.1188,0.1181
00345,4.3814,0.1180,0.2144
00346,4.3814,0.1183,0.1696
00347,4.3814,0.1174,0.0748
00348,4.3814,0.1171,0.0787
00349,4.3814,0.1168,0.1449
00350,4.3813,0.1165,0.1622
00351,4.3813,0.1158,0.1427
00352,4.3813,0.1156,0.1496
00353,4.3812,0.1152,0.1444
00354,4.3812,0.1154,0.0980
00355,4.3811,0.1149,0.1357
00356,4.3811,0.1144,0.1856
00357,4.3811,0.1145,0.1401
00358,4.3811,0.1141,0.1488
00359,4.3811,0.1135,0.1727
00360,4.3811,0.1136,0.1273
00361,4.3811,0.1132,0.1650
00362,4.3810,0.1128,0.2019
00363,4.3810,0.1126,0.1478
00364,4.3810,0.1123,0.1824
00365,4.3810,0.1119,0.1870
00366,4.3810,0.1115,0.1496
00367,4.3810,0.1115,0.2377
00368,4.3810,0.1114,0.1348
00369,4.3810,0.1114,0.2578
00370,4.3810,0.1115,0.1134
00371,4.3810,0.1123,0.2992
00372,4.3811,0.1120,0.1082
00373,4.3811,0.1131,0.2892
00374,4.3811,0.1110,0.1927
00375,4.3811,0.1100,0.2225
00376,4.3811,0.1096,0.2665
00377,4.3811,0.1097,0.1642
00378,4.3811,0.1101,0.2947
00379,4.3811,0.1099,0.1412
00380,4.3810,0.1117,0.3290
00381,4.3810,0.1164,0.0805
00382,4.3810,0.1330,0.2703
00383,4.3809,0.1132,0.3640
00384,4.3809,0.1325,0.0123
00385,4.3809,0.1596,0.0752
00386,4.3808,0.1628,0.2625
00387,4.3808,0.1273,0.2751
00388,4.3808,0.1285,0.0862
00389,4.3808,0.1357,0.2269
00390,4.3808,0.1305,0.2733
00391,4.3808,0.1296,0.0952
00392,4.3808,0.1260,0.1217
00393,4.3808,0.1223,0.2147
00394,4.3808,0.1292,0.0644
00395,4.3808,0.1246,0.0329
00396,4.3809,0.1271,0.1243
00397,4.3808,0.1230,0.2552
00398,4.3809,0.1275,0.0459
00399,4.3808,0.1253,0.0327
00400,4.3809,0.1261,0.1737
00401,4.3809,0.1241,0.2171
00402,4.3809,0.1239,0.0737
00403,4.3809,0.1221,0.0720
00404,4.3810,0.1228,0.1874
00405,4.3812,0.1236,0.1269
00406,4.3814,0.1209,0.1268
00407,4.3814,0.1211,0.1523
00408,4.3815,0.1216,0.1311
00409,4.3815,0.1212,0.0959
00410,4.3815,0.1208,0.1150
00411,4.3814,0.1204,0.1474
00412,4.3814,0.1205,0.1271
00413,4.3813,0.1203,0.1062
00414,4.3812,0.1201,0.1263
00415,4.3812,0.1196,0.1487
00416,4.3812,0.1194,0.1248
00417,4.3813,0.1190,0.1171
00418,4.3813,0.1185,0.1465
00419,4.3813,0.1179,0.1563
00420,4.3814,0.1176,0.1326
00421,4.3814,0.1171,0.1487
00422,4.3814,0.1166,0.1781
00423,4.3814,0.1163,0.1496
00424,4.3815,0.1158,0.1543
00425,4.3814,0.1154,0.1847
00426,4.3814,0.1149,0.1570
00427,4.3814,0.1145,0.1802
00428,4.3814,0.1141,0.1940
00429,4.3814,0.1137,0.1677
00430,4.3814,0.1134,0.2090
00431,4.3813,0.1131,0.1628
00432,4.3813,0.1128,0.2263
00433,4.3813,0.1123,0.1728
00434,4.3813,0.1120,0.2495
00435,4.3813,0.1118,0.1475
00436,4.3814,0.1120,0.2969
00437,4.3814,0.1125,0.0837
00438,4.3814,0.1151,0.3203
00439,4.3814,0.1128,0.1622
00440,4.3814,0.1116,0.2273
00441,4.3814,0.1102,0.2980
00442,4.3814,0.1114,0.1139
00443,4.3814,0.1130,0.2565
00444,4.3814,0.1099,0.3102
00445,4.3814,0.1113,0.1070
00446,4.3814,0.1145,0.2629
00447,4.3814,0.1100,0.3313
00448,4.3814,0.1147,0.0989
00449,4.3814,0.1213,0.2401
00450,4.3814,0.1205,0.2794
00451,4.3814,0.1141,0.2351
00452,4.3815,0.1169,0.1896
00453,4.3815,0.1134,0.3405
00454,4.3815,0.1176,0.0490
00455,4.3814,0.1233,0.2686
00456,4.3814,0.1112,0.3792
00457,4.3814,0.1200,0.0162
00458,4.3815,0.1383,0.1161
00459,4.3814,0.1185,0.3623
00460,4.3814,0.1479,0.0046
00461,4.3814,0.1565,0.0120
00462,4.3813,0.1597,0.2058
00463,4.3813,0.1397,0.2823
00464,4.3814,0.1475,0.0010
00465,4.3813,0.1530,0.0000
00466,4.3813,0.1598,0.0027
00467,4.3813,0.1377,0.0751
00468,4.3813,0.1418,0.0958
00469,4.3813,0.1414,0.0031
00470,4.3814,0.1290,0.0000
00471,4.3814,0.1323,0.0001
00472,4.3814,0.1365,0.0001
00473,4.3814,0.1350,0.0000
00474,4.3814,0.1310,0.0003
00475,4.3814,0.1294,0.0051
00476,4.3814,0.1307,0.0103
00477,4.3814,0.1305,0.0004
00478,4.3814,0.1292,0.0000
00479,4.3814,0.1306,0.0000
00480,4.3814,0.1305,0.0018
00481,4.3814,0.1296,0.0158
00482,4.3814,0.1304,0.0093
00483,4.3813,0.1297,0.0005
00484,4.3813,0.1291,0.0000
00485,4.3813,0.1297,0.0003
00486,4.3816,0.1292,0.0015
00487,4.3816,0.1289,0.0060
00488,4.3816,0.1292,0.0023
00489,4.3815,0.1288,0.0006
00490,4.3815,0.1287,0.0003
00491,4.3815,0.1288,0.0008
00492,4.3815,0.1285,0.0016
00493,4.3815,0.1283,0.0039
00494,4.3814,0.1284,0.0018
00495,4.3814,0.1282,0.0012
00496,4.3814,0.1281,0.0008
00497,4.3814,0.1282,0.0012
00498,4.3814,0.1280,0.0016
00499,4.3814,0.1277,0.0033
00500,4.3814,0.1277,0.0024
00501,4.3814,0.1275,0.0017
00502,4.3814,0.1274,0.0014
00503,4.3814,0.1274,0.0014
00504,4.3815,0.1272,0.0017
00505,4.3816,0.1270,0.0024
00506,4.3817,0.1269,0.0028
00507,4.3817,0.1268,0.0020
00508,4.3817,0.1266,0.0018
00509,4.3817,0.1265,0.0018
00510,4.3817,0.1263,0.0034
00511,4.3817,0.1261,0.0055
00512,4.3816,0.1259,0.0055
00513,4.3816,0.1257,0.0045
00514,4.3816,0.1256,0.0056
00515,4.3816,0.1254,0.0102
00516,4.3817,0.1251,0.0131
00517,4.3817,0.1249,0.0123
00518,4.3817,0.1246,0.0111
00519,4.3817,0.1244,0.0156
00520,4.3817,0.1241,0.0216
00521,4.3817,0.1238,0.0202
00522,4.3817,0.1235,0.0223
00523,4.3817,0.1232,0.0300
00524,4.3817,0.1229,0.0268
00525,4.3817,0.1226,0.0313
00526,4.3817,0.1224,0.0358
00527,4.3817,0.1221,0.0320
00528,4.3817,0.1219,0.0538
00529,4.3817,0.1217,0.0302
00530,4.3817,0.1216,0.0628
00531,4.3817,0.1214,0.0307
00532,4.3817,0.1212,0.0636
00533,4.3817,0.1208,0.0413
00534,4.3817,0.1204,0.0490
00535,4.3817,0.1202,0.0680
00536,4.3817,0.1199,0.0440
00537,4.3816,0.1198,0.0926
00538,4.3816,0.1197,0.0280
00539,4.3816,0.1203,0.1442
00540,4.3816,0.1204,0.0215
00541,4.3816,0.1218,0.1267
00542,4.3816,0.1186,0.0906
00543,4.3816,0.1177,0.0390
00544,4.3816,0.1187,0.1447
00545,4.3815,0.1185,0.0492
00546,4.3815,0.1180,0.1016
00547,4.3815,0.1168,0.1329
00548,4.3815,0.1169,0.0389
00549,4.3815,0.1179,0.1709
00550,4.3815,0.1168,0.0756
00551,4.3815,0.1160,0.1351
00552,4.3815,0.1150,0.1401
00553,4.3815,0.1145,0.0829
00554,4.3815,0.1148,0.2529
00555,4.3815,0.1162,0.0141
00556,4.3816,0.1248,0.2779
00557,4.3816,0.1187,0.0675
00558,4.3816,0.1181,0.1471
00559,4.3816,0.1142,0.2688
00560,4.3816,0.1190,0.0198
00561,4.3816,0.1225,0.0697
00562,4.3816,0.1158,0.3268
00563,4.3816,0.1271,0.0211
00564,4.3816,0.1241,0.0209
00565,4.3816,0.1245,0.2559
00566,4.3816,0.1173,0.2626
00567,4.3816,0.1194,0.0334
00568,4.3816,0.1198,0.0452
00569,4.3816,0.1184,0.2606
00570,4.3816,0.1183,0.1570
00571,4.3816,0.1146,0.0410
00572,4.3816,0.1172,0.0893
00573,4.3816,0.1146,0.2409
00574,4.3816,0.1166,0.1449
00575,4.3817,0.1138,0.0599
00576,4.3817,0.1153,0.1008
00577,4.3817,0.1137,0.2083
00578,4.3817,0.1146,0.1562
00579,4.3817,0.1132,0.0928
00580,4.3817,0.1137,0.1379
00581,4.3817,0.1129,0.2110
00582,4.3817,0.1129,0.1671
00583,4.3817,0.1126,0.1256
00584,4.3817,0.1122,0.1683
00585,4.3817,0.1120,0.2070
00586,4.3817,0.1116,0.1831
00587,4.3817,0.1114,0.1687
00588,4.3817,0.1114,0.1843
00589,4.3817,0.1108,0.2071
00590,4.3817,0.1112,0.2051
00591,4.3816,0.1109,0.1775
00592,4.3816,0.1103,0.2289
00593,4.3816,0.1106,0.2352
00594,4.3816,0.1109,0.1544
00595,4.3816,0.1106,0.2748
00596,4.3816,0.1095,0.2523
00597,4.3816,0.1098,0.1536
00598,4.3816,0.1110,0.2954
00599,4.3816,0.1095,0.2282
00600,4.3816,0.1087,0.2414
00601,4.3816,0.1084,0.2828
00602,4.3816,0.1081,0.2049
00603,4.3816,0.1082,0.3059
00604,4.3817,0.1077,0.2091
00605,4.3818,0.1078,0.2966
00606,4.3819,0.1089,0.1814
00607,4.3820,0.1186,0.3350
00608,4.3820,0.1334,0.0239
00609,4.3820,0.1492,0.2381
00610,4.3820,0.1272,0.3684
00611,4.3820,0.1428,0.0381
00612,4.3819,0.1563,0.0825
00613,4.3819,0.1346,0.2931
00614,4.3818,0.1935,0.0023
00615,4.3818,0.1869,0.0018
00616,4.3818,0.1831,0.0773
00617,4.3818,0.1527,0.0047
00618,4.3819,0.1366,0.0003
00619,4.3819,0.1428,0.0006
00620,4.3820,0.1357,0.0412
00621,4.3820,0.1294,0.0454
00622,4.3820,0.1350,0.0071
00623,4.3820,0.1312,0.0141
00624,4.3820,0.1314,0.0570
00625,4.3819,0.1273,0.0220
00626,4.3819,0.1284,0.0001
00627,4.3819,0.1287,0.0000
00628,4.3819,0.1288,0.0000
00629,4.3819,0.1281,0.0000
00630,4.3819,0.1269,0.0457
00631,4.3820,0.1273,0.0607
00632,4.3820,0.1279,0.0291
00633,4.3820,0.1274,0.0122
00634,4.3820,0.1272,0.0071
00635,4.3820,0.1271,0.0164
00636,4.3820,0.1266,0.0362
00637,4.3820,0.1264,0.0542
00638,4.3820,0.1263,0.0465
00639,4.3820,0.1263,0.0342
00640,4.3820,0.1265,0.0334
00641,4.3820,0.1263,0.0363
00642,4.3820,0.1261,0.0307
00643,4.3820,0.1261,0.0225
00644,4.3820,0.1261,0.0182
00645,4.3820,0.1260,0.0188
00646,4.3820,0.1259,0.0246
00647,4.3820,0.1257,0.0347
00648,4.3820,0.1256,0.0444
00649,4.3820,0.1255,0.0440
00650,4.3819,0.1253,0.0378
00651,4.3819,0.1252,0.0331
00652,4.3819,0.1250,0.0330
00653,4.3819,0.1249,0.0383
00654,4.3818,0.1247,0.0434
00655,4.3819,0.1245,0.0451
00656,4.3818,0.1244,0.0442
00657,4.3818,0.1242,0.0465
00658,4.3818,0.1241,0.0512
00659,4.3818,0.1238,0.0529
00660,4.3818,0.1236,0.0498
00661,4.3818,0.1234,0.0476
00662,4.3818,0.1232,0.0533
00663,4.3818,0.1230,0.0593
00664,4.3818,0.1228,0.0568
00665,4.3818,0.1226,0.0542
00666,4.3818,0.1224,0.0619
00667,4.3818,0.1222,0.0653
00668,4.3818,0.1220,0.0629
00669,4.3818,0.1219,0.0744
00670,4.3818,0.1216,0.0670
00671,4.3818,0.1214,0.0791
00672,4.3818,0.1212,0.0636
00673,4.3818,0.1211,0.1004
00674,4.3818,0.1210,0.0487
00675,4.3818,0.1212,0.1296
00676,4.3818,0.1210,0.0451
00677,4.3818,0.1211,0.1039
00678,4.3818,0.1201,0.0998
00679,4.3818,0.1199,0.0540
00680,4.3818,0.1203,0.1241
00681,4.3818,0.1199,0.0699
00682,4.3818,0.1195,0.0936
00683,4.3818,0.1191,0.1166
00684,4.3818,0.1191,0.0629
00685,4.3818,0.1193,0.1444
00686,4.3818,0.1190,0.0631
00687,4.3818,0.1191,0.1408
00688,4.3818,0.1184,0.0839
00689,4.3818,0.1181,0.1239
00690,4.3818,0.1177,0.1062
00691,4.3818,0.1174,0.1109
00692,4.3818,0.1171,0.1300
00693,4.3818,0.1168,0.0977
00694,4.3818,0.1167,0.1926
00695,4.3818,0.1172,0.0219
00696,4.3818,0.1232,0.2943
00697,4.3818,0.1240,0.0059
00698,4.3819,0.1349,0.0607
00699,4.3819,0.1209,0.3286
00700,4.3819,0.1374,0.0353
00701,4.3819,0.1217,0.0077
00702,4.3819,0.1304,0.0560
00703,4.3819,0.1190,0.2460
00704,4.3819,0.1228,0.2356
00705,4.3820,0.1225,0.0760
00706,4.3822,0.1182,0.0174
00707,4.3822,0.1228,0.0284
00708,4.3823,0.1202,0.1162
00709,4.3823,0.1175,0.2082
00710,4.3822,0.1207,0.1599
00711,4.3822,0.1180,0.0674
00712,4.3822,0.1176,0.0399
00713,4.3822,0.1193,0.0625
00714,4.3822,0.1177,0.1427
00715,4.3821,0.1168,0.1892
00716,4.3821,0.1179,0.1344
00717,4.3821,0.1166,0.0755
00718,4.3822,0.1167,0.0669
00719,4.3822,0.1169,0.1028
00720,4.3822,0.1160,0.1624
00721,4.3822,0.1160,0.1687
00722,4.3822,0.1158,0.1234
00723,4.3822,0.1153,0.0928
00724,4.3822,0.1156,0.1081
00725,4.3822,0.1150,0.1590
00726,4.3822,0.1146,0.1763
00727,4.3822,0.1146,0.1437
00728,4.3822,0.1141,0.1199
00729,4.3822,0.1141,0.1408
00730,4.3822,0.1137,0.1796
00731,4.3822,0.1135,0.1863
00732,4.3822,0.1132,0.1554
00733,4.3822,0.1130,0.1449
00734,4.3822,0.1128,0.1746
00735,4.3822,0.1124,0.2006
00736,4.3822,0.1123,0.1820
00737,4.3822,0.1120,0.1652
00738,4.3822,0.1119,0.1890
00739,4.3822,0.1115,0.2098
00740,4.3822,0.1114,0.1870
00741,4.3822,0.1111,0.1844
00742,4.3822,0.1109,0.2157
00743,4.3822,0.1106,0.2095
00744,4.3822,0.1104,0.1910
00745,4.3822,0.1103,0.2178
00746,4.3822,0.1100,0.2237
00747,4.3822,0.1098,0.2021
00748,4.3822,0.1097,0.2309
00749,4.3822,0.1094,0.2251
00750,4.3822,0.1092,0.2230
00751,4.3822,0.1090,0.2439
00752,4.3823,0.1088,0.2156
00753,4.3823,0.1087,0.2752
00754,4.3822,0.1086,0.1821
00755,4.3822,0.1092,0.3298
00756,4.3822,0.1102,0.0982
00757,4.3823,0.1152,0.3434
00758,4.3823,0.1104,0.2169
00759,4.3823,0.1086,0.1913
00760,4.3823,0.1089,0.3262
00761,4.3823,0.1100,0.1778
00762,4.3822,0.1103,0.2433
00763,4.3822,0.1079,0.3257
00764,4.3822,0.1099,0.1399
00765,4.3822,0.1121,0.2711
00766,4.3822,0.1075,0.3521
00767,4.3822,0.1113,0.0942
00768,4.3822,0.1167,0.2331
00769,4.3822,0.1076,0.3946
00770,4.3822,0.1214,0.0631
00771,4.3822,0.1309,0.0702
00772,4.3822,0.1244,0.3886
00773,4.3822,0.1238,0.2419
00774,4.3822,0.1097,0.1649
